network	nodeCount	edgeCount	avNeighbors	diameter	radius	avSpl	cc	density	heterogeneity	centralization	ncc	Med Degree	Avg Degree	C/N	% Nodes	% Channels	Max Degree
snapshot_2019.graphml	3387	27096	16.0	6	3	2.671307600322347	0.40146957961189955	0.004725339633786178	3.0218497903026305	0.27068553196278705	1	5,0	16,0	8,0	0,7200255102040817	0,9537151103445849	932
snapshot_2020.graphml	3972	27976	14.086606243705942	6	3	2.6831135754360096	0.4661830084947783	0.0035473699933784796	3.5121526579682967	0.38042660675286255	1	4,0	14,086606243705942	7,043303121852971	0,6648811516571811	0,9335914035907361	1524
snapshot_2021.graphml	3784	26565	14.044409199048374	6	3	2.732084293157636	0.403045637685762	0.0037134873609329386	3.333837793518961	0.30739561594887516	2	4,0	14,040697674418604	7,020348837209302	0,5668913857677903	0,9022211656024997	1176
snapshot_2022.graphml	9275	65151	14.069107007882518	8	5	2.9856066558407104	0.21847330981560714	0.0015193420094905528	3.953104186559062	0.24885837537792307	12	4,0	14,048733153638814	7,024366576819407	0,48413195531892683	0,7887052841837661	2318
snapshot_2023.graphml	8493	57684	13.58798586572438	7	4	2.960143224218246	0.21093672381559614	0.0016006580122186807	3.950312758709909	0.2446579423235414	2	4,0	13,583892617449665	6,791946308724833	0,561483538278461	0,8972608066698813	2090
snapshot_2024.graphml	8597	43922	10.310239549084077	12	6	3.3822267890195707	0.24296862987563578	0.0012108325953122815	4.3665862775331155	0.271195782539649	64	3,0	10,217983017331628	5,108991508665814	0,5025721968899801	0,846689156626506	2319
snapshot_2025.graphml	8146	41204	10.211478864509731	13	7	3.4117315769544865	0.24477664169597202	0.0012659904369588062	4.226466900158083	0.2607624574015765	66	3,0	10,11637613552664	5,05818806776332	0,49607210279520125	0,8433937160986593	2113
