network	nodeCount	edgeCount	avNeighbors	diameter	radius	avSpl	cc	density	heterogeneity	centralization	ncc	Med Degree	Avg Degree	C/N	% Nodes	% Channels	Max Degree
snapshot_2019.graphml	4704	28411	12.088936170212765	7	4	2.911299552190824	0.2852861978423783	0.0025726614535460236	3.643737576149572	0.21671513127753514	3	3,0	12,079506802721088	6,039753401360544	1,0	1,0	1030
snapshot_2020.graphml	5973	29966	10.067215594017812	8	4	3.0122517082786735	0.30671245164399835	0.0016919690073979516	4.315545964217257	0.25889924300532113	12	2,0	10,03381885149841	5,016909425749205	0,9998326079678608	1,0	1550
snapshot_2021.graphml	6672	29444	8.861014907393464	8	4	3.2081575209133475	0.2254895166165805	0.001334490196896606	4.4436509515975855	0.18607094441934027	11	2,0	8,826139088729017	4,413069544364508	0,9995505617977528	1,0	1244
snapshot_2022.graphml	16457	57510	7.721874789859458	10	5	3.5151091044041296	0.10837137543514656	5.192921849266616E-4	5.277393721890134	0.1475839457466763	1495	1,0	6,9891231694719576	3,4945615847359788	0,8590145109092807	0,6962048302160886	2202
snapshot_2023.graphml	15111	64289	8.523140167086593	9	5	3.4254222618450036	0.11581777021042282	5.651574940048136E-4	5.451737490232632	0.15189845743682612	15	2,0	8,508900800741182	4,254450400370591	0,9990083300277668	1,0	2299
snapshot_2024.graphml	17043	51875	6.518580002553953	13	7	3.8859136031110437	0.12606424127939697	4.162301259532567E-4	6.220972030810282	0.1994687652165375	557	2,0	6,087543272897964	3,043771636448982	0,9963170817257103	1,0	3130
snapshot_2025.graphml	16295	48855	6.446070206054098	14	7	3.9124417473141815	0.1264245892681033	4.326802393646193E-4	6.072070164406122	0.19284062190571707	564	1,0	5,996317888922983	2,9981589444614913	0,992326898483649	1,0	2879
