network	nodeCount	edgeCount	avNeighbors	diameter	radius	avSpl	cc	density	heterogeneity	centralization	ncc	Med Degree	Avg Degree	C/N	% Nodes	% Channels	Max Degree
snapshot_2019.graphml	3377	20745	12.649390243902438	7	4	2.9808576752281706	0.22954795723440766	0.003857697543123647	2.588577649680734	0.12278014491612924	98	4,0	12,286052709505478	6,143026354752739	0,7178996598639455	0,7301749322445532	415
snapshot_2020.graphml	3962	20711	10.79718456725756	8	4	3.1908237747653807	0.21779897199940682	0.002815432742440042	2.777113552628804	0.1059751526688743	125	3,0	10,454820797576982	5,227410398788491	0,6632072313357884	0,6911499699659615	417
snapshot_2021.graphml	3774	19730	10.964424680377988	8	4	3.1441487509741535	0.23616155281217396	0.003048213700410895	2.672132806090314	0.11711697085353849	172	3,0	10,455749867514573	5,2278749337572865	0,5653932584269663	0,6700855861975276	432
snapshot_2022.graphml	9240	52144	11.87176859127662	9	5	3.43080828637312	0.14068371023823895	0.001352137652764991	2.800823777192143	0.08978448518557826	440	3,0	11,286580086580086	5,643290043290043	0,4823050422799875	0,631245082016827	800
snapshot_2023.graphml	8483	45716	11.301100531717571	8	5	3.417131638031999	0.12582983554382599	0.0013976132243034346	2.728430151571281	0.06700876829494193	380	3,0	10,778262407167276	5,389131203583638	0,5608224249636388	0,7111014325934453	553
snapshot_2024.graphml	8587	34010	8.737276124210798	15	8	4.095978803613627	0.13532975827170018	0.0011259376448725254	2.81567940655668	0.07595549166049936	729	2,0	7,921276347967859	3,9606381739839294	0,5019876066877119	0,6556144578313253	598
snapshot_2025.graphml	8136	32059	8.73738892686261	15	8	4.1366274213387895	0.13938927133368426	0.0011946115568584373	2.7805711037710377	0.07771643733925385	726	2,0	7,880776794493609	3,9403883972468043	0,49546312648437973	0,6562071435881691	577
