network	nodeCount	edgeCount	avNeighbors	diameter	radius	avSpl	cc	density	heterogeneity	centralization	ncc	Med Degree	Avg Degree	C/N	% Nodes	% Channels	Max Degree
snapshot_2019.graphml	3287	6914	5.366043613707165	11	6	4.296613681679888	0.04108105424760154	0.0020903948631504346	1.3355718718927485	0.020130191309385474	696	2,0	4,206875570428963	2,1034377852144814	0,6987670068027211	0,24335644644679877	57
snapshot_2020.graphml	3874	6807	5.099207846095813	13	7	4.421872842572756	0.04459483871195683	0.0019242293758852125	1.4491657843022239	0.019599991452808822	1178	1,0	3,5141972121837894	1,7570986060918947	0,6484767325075327	0,2271574451044517	57
snapshot_2021.graphml	3685	6593	4.955698599015524	12	7	4.459175817240944	0.05059049775085794	0.0018771585602331531	1.4253413525482577	0.018970540953299572	996	1,0	3,578290366350068	1,789145183175034	0,552059925093633	0,22391658742018747	55
snapshot_2022.graphml	9219	32247	8.745915032679738	14	8	4.148432606810333	0.085521293219084	0.0011910547504670758	1.7639557318722685	0.020604015713963343	1753	2,0	6,995769606247966	3,497884803123983	0,48120889445662385	0,39037588523697114	160
snapshot_2023.graphml	8393	25063	8.065912762520194	11	6	4.149980827415152	0.07462204393248252	0.0013032659173566317	1.7117115637564178	0.02148603205031593	2112	2,0	5,972357917312046	2,986178958656023	0,5548724051302393	0,3898489632752104	141
snapshot_2024.graphml	8498	19007	5.641217939103045	17	9	5.28516107947978	0.07580032496573064	8.462673175972165E-4	1.6168530077436212	0.012358760257120986	1641	2,0	4,4732878324311605	2,2366439162155802	0,49678475388752485	0,3664	88
snapshot_2025.graphml	8048	17788	5.596948506039415	17	9	5.314219558854752	0.07613825661171537	8.896754897535233E-4	1.5998420579469645	0.012943718775579417	1586	2,0	4,420477137176938	2,210238568588469	0,4901041349491505	0,3640978405485621	87
